movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
21,Get Shorty (1995),Comedy|Crime|Thriller
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,Babe (1995),Children|Drama
39,Clueless (1995),Comedy|Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
110,Braveheart (1995),Action|Drama|War
223,Clerks (1994),Comedy
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
318,"Shawshank Redemption, The (1994)",Crime|Drama
356,Forrest Gump (1994),Comedy|Drama|Romance|War
377,Speed (1994),Action|Romance|Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
457,"Fugitive, The (1993)",Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
527,Schindler's List (1993),Drama|War
541,Blade Runner (1982),Action|Sci-Fi|Thriller
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,Dances with Wolves (1990),Adventure|Drama|Western
592,Batman (1989),Action|Crime|Thriller
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
608,Fargo (1996),Comedy|Crime|Drama|Thriller
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
733,"Rock, The (1996)",Action|Adventure|Thriller
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
858,"Godfather, The (1972)",Crime|Drama
912,Casablanca (1942),Drama|Romance
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
1036,Die Hard (1988),Action|Crime|Thriller
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1193,One Flew Over the Cuckoo's Nest (1975),Drama
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1213,Goodfellas (1990),Crime|Drama
1214,Alien (1979),Horror|Sci-Fi
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
1221,"Godfather: Part II, The (1974)",Crime|Drama
1225,Amadeus (1984),Drama
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1259,Stand by Me (1986),Adventure|Drama
1265,Groundhog Day (1993),Comedy|Fantasy|Romance
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1304,Butch Cassidy and the Sundance Kid (1969),Action|Western
1307,When Harry Met Sally... (1989),Comedy|Romance
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1387,Jaws (1975),Action|Horror
1393,Jerry Maguire (1996),Drama|Romance
1394,Raising Arizona (1987),Comedy
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1573,Face/Off (1997),Action|Crime|Drama|Thriller
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1584,Contact (1997),Drama|Sci-Fi
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1704,Good Will Hunting (1997),Drama|Romance
1721,Titanic (1997),Drama|Romance
1784,As Good as It Gets (1997),Comedy|Drama|Romance
1923,There's Something About Mary (1998),Comedy|Romance
1968,"Breakfast Club, The (1985)",Comedy|Drama
2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama
2028,Saving Private Ryan (1998),Action|Drama|War
2174,Beetlejuice (1988),Comedy|Fantasy
2291,Edward Scissorhands (1990),Drama|Fantasy|Romance
2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
2396,Shakespeare in Love (1998),Comedy|Drama|Romance
2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
2599,Election (1999),Comedy
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
2699,Arachnophobia (1990),Comedy|Horror
